Found 4 args.
Observation: TS3003b; Result size: 439; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	57.11	71.139	Okay . Everybody found his place again ? Yeah ? That's nice . Okay so this is our second meeting . And uh still failing ? 	
D	60.55	60.96	Yes . 	
D	71.8	72.11	Yeah . 	
A	72.76	92.45	Uh now we're going um into the functional design . Um important thing of this phase is that we're going to uh try to get an agreement about the user requirements , technical function design , and the working design . 	
A	93.12	107.776	So that we can move onto the second uh phase . But first this phase . Um first an announcement . There's a little adaptation in the air conditioning system . So 	
D	108.597	109.54		
A	109.14	120.184	There's our ghost mouse again . That that means that you can have a little trouble with , little trouble with the air conditioning , that's because of this uh 	
B	120.38	120.74	Okay . 	
D	121.11	121.48	Okay . 	
A	121.57	139.11	It's in wing C_ and E_ . So it should be over in a in a while , couple of days . But it's going to be cold anyway , so I don't think you're gonna need it . Then our agenda . Now first the opening . Uh this time I will take the minutes . 	
B	129.959	131.649		
D	132.84	133.18	No . 	
A	140.36	163.54	Uh you're going to have a presentation . All of you . Um and we've got forty minutes for the whole uh prese for the whole uh presentations . So uh I suggest we take about seven minutes per presentation , and then we can have a little discussion about the new project requirements uh which have been sent to me . 	
A	164.39	181.34	And then the decision on the control functions uh which we wanna include and those which we don't wanna include . So we've got forty minutes for all of it . So I suggest um let's start with the first presentation . Um who wants to be first ? 	
D	178.78	179.07	Yes . 	
D	182.76	183.55	Think I'll go first . 	
A	183.74	186.215	Okay . So 	
D	185.758	186.566		
A	187.94	197.87	Just maybe it's easier if you um Yeah I think you will tell your presentation as well . Just which function you have and what you're gonna talk about . 	
A	199.144	199.775		
D	206.59	210.91	'Kay . My name is Freek Van Ponnen . I'm the Market Expert . But you already knew that . 	
D	212.1	228.22	Um I've done some research . We have we uh have been doing research in a usability lab where we observed um users operating remote controls . Uh we let them fill out a questionnaire . We had one hundred of these uh test subjects . 	
D	229.36	236.64	Uh in addition we did some market research . Uh see what the market consists of . What ages are involved . 	
D	238.9	249.63	Well these are three quite astonishing results , I thought . Um remotes are being considered ugly . F uh seventy five percent of the um 	
D	250.97	263.361	people questioned uh indicated that they thought their remote were was ugly . Um and an additional eighty percent indicated that they would spend more money on a fancy-looking remote control . So 	
D	264.67	273.32	Um in addition remotes were not very functional . Fifty percent of the people indicated they only loo used about ten percent of the buttons on a remote control . 	
D	275.08	279.39	And fifty percent of the people indicated that their remote tended to get lost in their room . 	
D	280.47	280.8	So 	
B	281.83	282.08	Mm . 	
D	282.33	283.07	some things . 	
D	285.34	302.22	Then we did some research to the most relevant functions . Channel selection and volume selection um both got a ten on a scale of one to ten for relevancy . The power button got a nine . And teletext got a six and a half . So these are the most 	
D	303.35	320.74	most uh important functions on a remote control . Then there are some one-time use function . That's what I like to call them . That uh audio settings , video settings , and channel settings buttons . Which are not really used very frequently , but are still considered to be of some importance . 	
D	322.1	329.43	Um channel selection was also indicated to be used very frequently . One hundred and sixty eight times per hour . 	
D	332.14	341.15	Then these are the This is the market . Um sixty percent of the market consists of users between the ages sixteen and forty f six . 	
D	342.13	342.736	Um 	
D	344.14	356.953	Main characteristic of this group is that they're very critical on the remote control . Um they like to use new f new functions . But they also are very critical . They won't spend their money very easily . So 	
