Found 4 args.
Observation: ES2014c; Result size: 531; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	91.2	91.89	Okay . 	
A	112.68	113.14	Right . 	
A	118.01	126.976	Conceptual design meeting . Right . Okay , so 	
A	129.18	141.84	Right well um from the last meeting I was trying to send you the minutes , but uh it didn't work out too well , so maybe in sort of um 	
A	143.38	146.8	quick summary of the last uh meeting , I can 	
A	148.12	149.46	quickly give you 	
A	152.91	159.6	what we what we had . Uh right , so 	
C	152.961	153.691		
A	165.63	182.35	Wishing I hadn't closed the damn Right so we had the fact that we're gonna have the the logo uh the company logo in its uh colour scheme incorporated onto the the device the remote device . We had uh made our decisions about uh 	
A	184.69	186.6	made our decisions about uh 	
A	189.98	192.78	the device itself , that it was gonna be simple to make it uh 	
A	194.02	209.93	enable us to complete the project in time . We're gonna have uh effectively two pages , a front page which had the uh features that the uh the customers most wanted , and then the uh the backup features on the second page so that it could uh 	
A	212.8	220.38	meet the technical requirements . And the customers wouldn't have to look at them too often , only as and when required . So . 	
A	224.08	231.45	So basically what decisions uh have we uh made ? Uh have there been any uh changes ? 	
B	232.04	235.32	I think we all have a presentation again , so if we go through those and then um 	
A	233.87	234.23	Right . 	
D	234.29	234.48	Yeah . 	
A	235.56	240.37	Three presentation , yeah . So Yeah , fine . 	
B	235.799	240.337	. Shall I go first again ? 	
D	239.78	240.01	Okay . 	
B	249.18	252.14	I see this a little more smoothly than the last one . 	
B	253.344	254.032		
A	265.616	265.808		
B	288.06	289.95	Okay right , let's get started . Um 	
B	293.36	296.97	basically the uh for the Um I'll back actually . 	
B	298.56	330.07	For the components design , um next step is basically the the way the remote's gonna work is still the same idea as before . We still have the user interface which is all the buttons we're gonna incorporate . Then there is a chip and still the sender . So um yes including the power s supply as well . Um I'll go on to my findings in each of these areas . Uh first in the power supply , we have the option of just the standard battery , 	
B	330.85	352.65	um . There's a dynamo . Any of you think of kind of like the the old torches which you wind up um . There's a kinetic option , which if any of you've seen those new watches which you kind of you power up by waving around , um it just requires a small amount of movement which would mean the batteries wouldn't have to be replaced . 	
B	353.49	392.85	Um that's one option , but I think that was gonna cost a little more . And then there's solar cells . Um as a final option . For the buttons , we have um an integrated push button , which is Oh just to say all all these are um supplied by Real Reaction . So I guess for the ease of for quickness and ease we should take them from at least like one of these options . Um so for the buttons there's an integrated push button , which I guess is just the same as the standard ones . This says it's uh similar to uh the button on the mouse for a normal for like uh like modern computer . Um there's a scroll wheel 	
D	353.93	354.26	Mm-hmm . 	
A	377.07	377.66	Okay . 	
B	393.89	415.33	which is you know the new mouse has just got like the centre section which you can scroll up and down , which may be for the volume . You could do do that . Um one issue for the buttons is , depending on which material we use , if we use rubber buttons then it requires a rubber case , so we have to take that into consideration . Um moving on to the printed s 	
A	399.65	400.16	Mm-hmm . 	
D	400.32	400.56	Mm-hmm . 	
A	414.53	416.68	What would be the cost do do we know ? 	
B	417.04	455.9	Um that's on the next I th I think the there wasn't too much difference in the cost , that that related to the actual buttons , but it does affect the printed circuit board . Um which is the next section . Basically for the circuit board which is the middle , it's just see it down there the chips like the like the workings of the actual um of the remote . The firm supplies a simple , a regular and an advanced um circuit board . And there's different prices according to each . So if we've got the scroll wheel for one of the buttons , that would require a slightly more advanced circuit board than if we just had a standard um push button . 	
A	419.04	421.104		
A	434.33	434.81	Mm-hmm . 	
A	452.26	452.95	Mm-hmm . 	
B	457.03	505.97	Um one final thing we came up with was some information on the speech recognition . There's a small unit available through the company um which obviously would be an extra cost , but it wouldn't affect the size of the remote too much . Um and I guess that would require a more advanced circuit board , so there is an extra price in that sense . There is th sorry an extra cost in that sense . Um going to my personal preferences , um I thought possibly for power we could use kinetic um which is the idea of the watches um that you move you move the remote around to power it up . And this would avoid batteries running out , having to replace batteries and such like . Um for the buttons , I thought we'd probably get away with just having the standard um push buttons rather than the scroll wheel . 	
B	507.22	521.93	Um and for the circuit board , again depends on which features we want in the actual in the remote . So if we wanted the scroll wheel and wanted the voice recognition , um then we'd have to get a a more costly circuit board . And that's it . 	
D	527.33	527.57	'Kay . 	
A	530.547	535.171	with the printed circuit boards you were going for the 	
C	531.11	532.919	Thanks . 	
B	535.47	545.75	Um i it kind of depends um if we're gonna have the speech recognition , we'd have to probably get an advanced one . I'm guessing . Uh but I don't know , so that is something I'll have to look into . 	
A	542.84	543.25	Mm-hmm . 	
A	544.97	546.67	But are we going f R right . 	
B	546.5	549.28	Um that's a that's a decision for all of us . Um . 	
A	550.66	572.62	So are we able to make that decision now in a sense that this is the point at which we're discussing that issue , so would it not be best to rather than I mean one way is to do each of the presentations and then make decisions going back to the various presentations as they were . The other way would be to do the presentation and then make the decision at that point in time . 	
B	552.06	552.99	Yeah yeah . 	
B	556.16	557.84	We decide . Yeah . 	
D	556.27	556.52	Mm-hmm . 	
D	569.77	570.18	Mm-hmm . 	
B	572.84	574.29	Um . Maybe w 	
C	573.88	576.16	Yeah , that's probably a better one , to discuss it straight away . 	
A	576.79	595.29	'Cause at that point then you've got the details up there , so if we wanted to know for instance that the scroll wheel required the regular and what required advance . Then if we were able to see that down then we could make the decision at that point in time and then that would be the end of that issue . Does that make sense ? 	
B	587.85	588.28	Um . 	
B	593.52	594.08	Yes . 	
C	595.296	598.79	Um I have a lot of the information there . It might not be very clear . 	
D	595.9	596.37	Mm-hmm . 	
B	601.73	602.528	Is there 	
C	602.16	603.7	Unless you want to plug it back in to yours . 	
B	604.34	605.12	Um . 	
B	606.17	610.1	We could do , yeah . Um yeah we should . 	
A	616.448	617.093		
B	618.82	627.54	As I say it only specified that we need a more advanced circuit board for the scroll wheel , it didn't The voice recognition came as a separate piece of information . Um . 	
A	623.12	623.89	Mm-hmm . 	
A	627.23	629.776	No the scroll wheel required the regular , so the 	
B	629.72	631.43	Yeah if if you down um . 	
A	631.68	632.51	Hmm . 	
B	632.8	639.86	It's just this bit at the bottom which I've highlighted , but the scroll wheel requires a mini m minimally a regular chip , which is in the higher price range . 	
A	636.555	637.696		
A	640.59	649.63	Okay . The display requires an advanced chip the display requires an advanced chip which in turn is more expense . 	
C	642.23	644.602	I think the scroll wheel um 	
B	647.11	651.472	Also the display's for something else which we decided against . Um but that bit 	
A	653.52	653.98	Okay . 	
B	655.22	660.28	And note that the push button just requires a simple chip , so that would keep the price down . 	
A	659.73	660.17	Down . 	
C	660.68	671.3	Yeah , and if we're going for sleek and sexy , I think a scroll wheel is maybe a bit kinda bulky ? I I've got um pictures well I've seen pictures with it kind of sticking off the side of it , and they don't really look great . 	
D	661.03	661.57	Mm-hmm . 	
A	670.34	673.04	Right . Okay . 	
B	671.83	672.04	'Kay . 	
B	672.62	676.347	So maybe just a simple push button , and that would cut costs on the 	
A	674.64	684.64	So . So we're going for p Okay . So is um 	
D	690.05	692.96	So are we going for the w are we going for the simple one , are we ? 	
C	693.19	695.77	Yeah , a simple pushbuttons . 	
D	694.18	694.45	Okay . 	
A	694.45	697.076	Simple push button . 	
B	695.648	702.47	Did everyone get this on the speech recognition ? The um it was basically what we said before , the idea that you record in a set 	
B	703.12	721.168	message , and then it picks up that message um and replies to you . So it is basically the concept we discussed before . Um but then we don't know for sure whether it would require a more complicated circuit board . I'm guessing it would , but got like the definite information . Maybe we should go on what we're certain of rather than 	
A	705.6	705.98	Mm-hmm . 	
D	705.86	706.25	Yeah . 	
D	710.518	711.396		
A	721.88	728.73	So if we go for the simple push button , so effectively we're going for the simple printed circuit board are we ? Or are we going for the regular ? 	
B	729.92	732.8	Um if it's just the push button then it just needs the simple circuit board . 	
A	732.69	756.59	Mm-mm . But is there any other I mean okay , that's true for the for for that element , but we have to take all el elements into consideration . And so if there is one element that requires the more expensive one , or say the regular one , or the more advanced , then that would have to be the same for all of them . S 	
D	752.85	753.1	Mm . 	
C	755.83	757.991	Hmm . But 	
D	756.98	763.05	I suppose we need we need to find out what circuit board that requires , maybe before we m make a decision . 	
C	763.95	777.4	But the way that I interpret that um it doesn't seem to send out a signal to the telly , it just it's like a parrot just rep reply replying to your message . So I don't think it would effect our circuit board . 	
A	764.04	764.72	Right . 	
D	771.99	773.5	Oh yeah , I suppose so , yeah . 	
A	772.3	772.72	Mm-hmm . 	
B	773.48	775.25	So maybe that would be something separate , yeah . 	
D	776.05	776.19	Yeah . 	
