Found 4 args.
Observation: ES2004d; Result size: 667; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
B	3.68	6.86	If you leave them on the whole time you get to look like a noodle the whole time . 	
A	13.41	14.14	Hmm . 	
D	15.11	15.99	Is that someone's ? 	
B	19.95	20.74	Is that . 	
A	22.99	23.44	Thank you . 	
B	23.936	25.26	three , apparently . 	
A	26.09	26.84	Hmm . Hmm . 	
B	27.38	28.56	Okay , you all switched on . 	
D	27.86	28.38	Okay . 	
A	29.06	29.63	Yep , me too . 	
B	32.72	35.52	I presume we're good to go . Okay , um 	
B	36.64	39.52	minutes um we decided to use a kinetic charger , 	
A	39.85	40.11	Mm-hmm . 	
B	40.93	45.64	standard chip , um 'cause it can come in various different sizes , it wasn't uh 	
B	47.09	82.47	uh gonna be a problem factor . We wanted a stand-by function . The case material is gonna be soft , rubbery , changeable . Um buttons with a combination of L_C_D_ and rubber according to the design . Um bright funky designs inspired by fruit , keeping with the hip kind of feel . Um and to try and incorporate voice recognition software into our design until we can find out more about the cost of things like that . Um and the rubber buttons that we'll use will be anti-R_S_I_ . Okay ? 	
B	88.58	90.29	Prototype presentation . 	
C	91.37	92.62	Is that for us ? 	
B	92.6	93.81	I think that would be you . 	
A	92.85	93.32	Yep . 	
C	94.1	94.48	Okay . 	
A	94.68	98.97	Me and William worked on a prototype , and I think William is going to make a p presentation on that . 	
C	99.49	109.822	Yeah , shall I show ? I'll show . Though do you do you wanna do you wanna sh do you wanna hold it and I'll I'll show you the presentation . Can I just nick your 	
A	100.76	101.1	Yeah . 	
B	103.25	105.86	Make sure the camera's 	
A	103.62	104.8	I can hold it like 	
A	106.05	108.224	Yeah , so 	
B	109.01	110.86	Yes , yes you can . Wait a second , I'll get it out . 	
A	111.205	112.366		
C	114.8	115.32	Whoa . 	
A	115.96	116.57	It looks 	
B	116.05	116.56	Um 	
C	116.55	117.74	Going a bit crazy over here . 	
A	117.88	118.82	crazy . 	
B	119.25	119.67	Okay . 	
C	120.76	121.4	Thank you . 	
B	125.376	131.35	You should have one of those things and you can just take it off . Ta-da . 	
A	125.65	126.23	Um not now . 	
A	127.17	127.52	Oh . 	
A	129.84	130.1	Yeah . 	
A	132.1	134.618	Oh , where are the hinges ? 	
B	133.904	134.72		
C	138.63	151.53	Okay , so this is our look and feel presentation , the final our final presentation . And we'll first look at the exterior of what we've uh come up with over there . Um 	
B	139.4	139.74	Right . 	
B	141.73	142.15	Mm 'kay . 	
A	151.2	151.91	'Kay . 	
C	152.77	202.59	It's gonna have a a plastic body um with a sort of standard colour , either we're thinking some something fairly neutral like a a white or a light blue or something . This is underneath the rubberised the rubberised uh outer casing um which there'd be sort of a wide choice they would be attached , but we can we can come up with that . Um the um wide choice of colours and sort of patterns , so you've got you've got a lot of customisation with it . Um it's obviously an a sort of clam-shell design and uh the um the top L_C_D_ screen that you can see that would b would be sort of um 	
A	153.04	153.88	You able to look ? 	
A	155.57	155.91	Yep . 	
A	163.281	164.361		
B	168.24	168.62	Mm-hmm . 	
B	178.12	178.46	Okay . 	
A	193.591	195.325	. 	
C	203.712	234.227	how do you say , it's yeah yeah , it would be sort of inset into the into the top and the buttons at the bottom would d so so it'll fully close flat . Yeah , yeah . And working on the inside we've um already said d decided on the kinetic batteries , which actually , thinking about it now , could y could also probably attach to the flipping open and shut as well , so that you could probably get a bit of 	
A	204.79	207.981	The black and white touch screen wherein people can 	
B	209.05	210.5	Mm . So it's flush . 	
A	211.03	211.32	Right . 	
B	214.93	216.01	Oh right , okay , yeah . 	
A	218.16	218.905		
A	221.232	222.185		
B	233.26	238.77	So put it in the top section rather than the bottom sections , 'cause it's the top part that's okay . 	
C	235.49	257.8	Yeah . Yeah . Um we decided that um the voice recognition system , it did actually say on the email that they were sort of coming in and they were fairly easy to get a-hold of , so we presumed that they'd also be quite cheap . So you'd have something like where you'd shout out , where where is the remote and 	
A	236.06	236.42	Mm-hmm . 	
C	259.11	261.27	it'll shout back , I'm here , or something . 	
D	262.144	267.296	Or something . 	
A	263.092	263.938		
C	263.456	318.36	And then yeah . It wo it won't shout out I'm here or something . It'll just shout out I'm here , or something to similar effect . Uh yeah , if it was going like I d well tha that could be something for next time , maybe . You can have a remote that tells you exactly where it is . Um the standard , there's be a standard transmission with the T_V_ using using all the standard chips that we've talked about . Um it would it would have obviously 'cause it's split over two two different layers , it would need two separate P_C_B_s , so it would be joined at the hinge through some sort of cabling . And uh because , obviously , all T_V_s use this , the same infrared medium , we'd just be using using the same thing to transmit the data . And the infrared 	
D	270.016	271.936		
B	271.08	273.5	Okay . I'm under the sofa . 	
A	271.77	272.07	'Kay . 	
A	274.29	275.32	Ah oka 	
B	274.65	275.93	Or , that would be too complicated . 	
B	291.23	292.62	Infrared . 	
C	319.88	329.72	um sender would be on the on one of the bot the bottom layer , just at the front of the we haven't I don't think we actually put it on . 	
B	329.09	329.72	Like here . 	
C	330.8	332.1	Yeah , yeah , something like that . 	
B	332.1	338.4	Okay . Actually , no , it would be it would have to be on the on the front . Oh right , yeah , okay , yeah , I've got you . 	
A	332.28	335.33	Infrared could be here also . Yeah , here . 	
C	334.2	336.51	Yeah , on the front on the front side of that , yeah . 	
A	336.48	341.96	. So when it's even if it's open here , the signals would go . Yeah . 	
B	339.8	341.52	It's still pointing , yes . 	
C	339.9	358.14	So when you've actually got it open , it would be facing the T_V_ . And then finally um on to the interface . The top screen , as we said , is would be an inset um black and white L_C_D_ s touch screen which yeah would 	
B	342.35	343.35	Yeah , that would make sense . 	
A	348.803	349.712		
A	356.66	357.39	This one right here . 	
C	359.3	390.89	uh have all of all of the the available functions for for the remote on it , uh whereas the bot the bottom screen would just contain the standard buttons , like the vo volume up and down , channel up and down , power on and off , and uh things to that effect . And now we've we also decided on the inside , we could possibly either have um some some kind of sort of bezzled 	
A	374.192	375.858	. 	
B	375.28	375.7	Okay . 	
C	392.4	397.83	uh logo on it , or something inset , or maybe an engraving of the logo on the top . 	
A	398.96	399.715	Which is 	
B	399.04	403.037	But not interfering with the outside kind of look of the product once it's 	
C	400.04	417.09	No d not not actually . No , not uh interfering with l the whole look of the the product when it's uh on the thing . And finally that's how we put the fashion back into electronics , as that is that's the company logo . 	
A	400.96	401.28	No . 	
A	404.82	405.57	Look up to it . 	
B	405.44	405.78	Okay . 	
B	413.43	415.1	Thank you very much . 	
A	415.27	416.22	Yay . 	
B	416.53	421.99	Wrapping it all up , okay . Um I've now got evaluation criteria . 	
D	417.13	418.06	Well done . 	
D	422.2	422.74	Certainly . 	
A	424.26	427.56	So this is the one . Sorry . 	
B	427.07	432.17	It's to be presented . Okay . 	
C	428.81	431.05	There you go . . 	
D	428.82	430.87	Logged in ? Thank you . Oops . 	
A	438.47	439.06	Evaluation . 	
A	446.022	447.005	. 	
B	446.871	448.076		
A	448.34	450.37	Mm um I I think this is chip . 	
B	452.26	454.15	It's quite similar to what it was before , though . 	
D	454.21	486.19	Okay . This stage of the evaluation is really for us as a team to evaluate if we have now got a product specification and prototype design that meets the the criteria that we got from our market research . So this is the first stage of the evaluation . Now , the collection of the criteria , as we saw in our previous meeting , was based on the user requirements and trends found in the marketing reports and marketing strategy of our company . So it's what we've discussed in the last meeting , are we actually meeting those trends and requirements ? 	
B	455.38	455.63	Sorry . 	
D	488.36	523.952	Now the findings that we came up with , just a recap , are here . The criteria that we want in this remote control are a fancy look and feel , technological innovation , it should be easy to use , it should incorporate current fashion trends , and those the two main ones , they were the spongy texture and the fruit and vegetable strong design colours . The design should minimise R_S_I_ and be easy to locate and we were still um uh slightly ambivalent as to whether to use voice recognition there , though that did seem to be the favoured strategy , but there was also , on the sideline , the though of maybe having a beeper function . 	
A	504.94	505.44	Mm-hmm . 	
