Found 4 args.
Observation: TS3009d; Result size: 902; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	33.6	34.6	Uh fourth meeting . 	
A	36.934	37.443		
B	38.21	38.94	We have to do what ? 	
C	38.981	44.52	W what ? Alri alright . We'll see . 	
A	39.43	40.52	Some extra deciding . 	
A	41.712	43.312	Well 	
B	42.29	42.74	Oh . 	
A	45.622	53.08	I'll show you the notes again . Very interesting . Well you'll you two will uh present us your prototype . 	
C	48.906	50.384		
C	53.38	53.59	Yeah . 	
A	54.16	71.34	Then um I guess that's your bit ? I I didn't s see anything about it , so I already uh thought you uh you were to do that . So the you're uh . I'll show you how we're going to do with financing this uh design . 	
D	57.28	57.52	Yeah . 	
C	61.511	62.11		
D	63.095	63.876		
B	70.04	70.47	Mm . 	
C	71.76	73.848	Yeah , that's important too . Yeah . 	
B	72.571	74.545	Bit late . 	
A	72.77	83.19	And then we'll evaluate , after after we have redesigned it . Because uh well we'll see about the costs . Um we'll uh evaluate our p our uh production 	
A	84.39	85.97	and then uh we can close . 	
C	87.3	87.61	Alright . 	
A	88.06	96.304	Well the finance uh we'll do later , so um firstly uh I'll show you the notes . I don't think it's very interesting . 	
B	99.26	100.07	I think it is . 	
A	100.36	103.232	Oh nei . Uh no . 	
A	106.15	106.86	Alright . 	
A	112.85	114.756	This is copy paste . So 	
C	114.63	123.437	From me of course , yeah . Well from us all , yeah , from all of us . Yeah . It's a nice chorus , yeah . 	
A	115.62	123.376	Of course . You had some very strange layout . Well um 	
D	123.968	130.352		
B	124.466	125.246		
A	125.24	139.617	We ge we went through the agenda , and well we had some uh some presentations from you three . And uh I summarised what you said to us . So uh I don't think it's very interesting and go through it again . So uh 	
C	125.915	127.577		
C	138.1	139.49	Repeat it yeah . Alright . 	
A	140.39	149.21	This is what we decided . It's also copy paste from what we made together . So we still know that . And then uh we can we can uh use the time better . 	
D	145.28	145.52	Okay . 	
A	150.26	154.35	Well uh next you two will uh present uh the pot prototype for us . 	
C	154.85	159.456	Alright , we both uh will ? Or one of us will ? Uh 	
A	156.39	157.08	Yeah . 	
B	157.186	157.8	Alright . 	
B	160.22	161.42	No you go and I'll uh 	
C	161.45	164.579	Alright . If I make mistakes uh you'll uh 	
B	162.47	163.33	supplement you . 	
B	164.618	165.24	Yeah . 	
A	166.2	168.416	Correct . 	
C	166.29	180.37	Right . Uh well this is our design . Uh it's pretty uh much uh like uh Mike draw uh drew uh the in the during the last meeting . With uh the different uh perspectives of it . Uh we'll begin uh with the front . 	
D	166.64	168.065		
C	181.34	194.03	We have of course uh the the round shape uh the round uh basic shape . Um with uh the upper part being the front . Th So there's this part um which is made of hard plastic , the front . 	
C	194.58	214.675	And uh we're we're using different colours . Of course for the launch we use the basic ugly colours , and later we'll put out uh more interesting covers with different patterns and pictures and everything . But basically , different colours , bright colours not black , too dark . Fancy colours . Um then we have uh the lower part 	
A	199.568	200.49	Yeah . 	
A	203.15	203.63	Mm-hmm . 	
C	215.62	222.21	of the of the device . Uh which is of course um part of the back actually , because it's also titanium . 	
C	222.51	240.67	You can see it also on the on the on the side view , that only this part is the front , and the rest of it , the under uh the under side uh of it , yeah , the back side and the lower part of the front is of course titanium made of titanium , and has the titanium colour of course , the look . 	
C	241.37	255.19	Um then we have uh on back on the front uh the logo in the upper corner , uh which is uh made uh which is also part of the back , part of the titanium uh titanium part . Yeah ? 	
A	241.87	242.19	Mm . 	
B	252.83	254.619	Yeah , it's a double R_ , but 	
B	255.85	256.8	It's a double R_ . 	
C	257.42	268.24	It's a double R_ . Yeah the logo Uh uh it's difficult to draw so small , but it's our double R_ uh logo is in there . Um so that's the logo in the upper lef uh right corner . 	
B	258.19	261.43	But it's very difficult to to draw that in Yeah . 	
A	258.92	259.98	Yeah , alright . 	
A	262.67	263.0	Okay . 	
A	264.12	264.35	Yeah . 	
C	268.56	279.67	Then we have the buttons . Uh it's difficult to draw again the little oval or round I think oval will be better for the for the d for the different uh channel buttons . 	
B	275.39	276.0	Oval yeah . 	
A	278.13	278.47	Alright . 	
C	281.4	284.59	So uh oval , n those are here . And then we have the m 	
C	285.84	286.59	The m 	
B	286.89	287.99	Channel up and volume ? 	
C	288.18	303.21	Yeah the the con the the the , yeah , the t volume and the channel controls uh in the middle here . Um um with kind of arrow shapes , which makes it also a bit more exciting than basic round or um uh 	
C	304.637	321.296	uh square buttons . And also here are the two uh buttons we agreed on . We have the Okay button . Oh nei we uh the Okay button's here in the middle of the of the operators , of the channel and uh volume um changers . And then we've here the Menu button and the 	
B	313.3	313.67	Yeah . 	
A	313.55	314.11	Mm-hmm . 	
A	321.54	321.98	Alright . 	
B	322.01	323.69	Menu for the L_C_D_ screen . 	
C	322.5	328.43	And the video button . The Yeah . And of course this low part , this is the L_C_D_ screen . 	
D	324.06	324.6	Mm right . 	
A	324.48	325.09	So 	
