Found 4 args.
Observation: ES2004b; Result size: 487; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
B	0.2	5.143	Help . 	
B	8.18	10.8	It's up there ? That screen's black . 	
D	14.011	15.164		
C	26.317	28.513		
B	37.05	39.72	Alright , okay . Okay , that's fine . 	
D	47.685	49.18	Oh God . 	
B	55.45	55.86	Are we done ? 	
B	66.81	78.86	Right , okay um , this is our second meeting and I might be a bit all over the place . Um , right our agenda for today , do you want us to give you a second ? 	
C	72.604	73.698		
D	80.31	81.52	Uh , no that's okay , sorry . 	
B	81.27	83.536	Okay , um 	
B	85.93	88.7	I'll go over what we decided last meeting , 	
A	89.12	89.38	Mm-hmm . 	
B	90.54	91.15	um , 	
B	92.63	99.12	we decided upon a universal control , one handset for all , T_V_ , video 	
B	100.62	129.48	equipment . Um , that it was important that the product was accessible to a wide range of consumers , wide age range , not limiting anyone . We decided it was important to reflect the company's image in our product , we put fashion in electronics , you know that kind of s thing . Um , our budget would have to affect um try not to reflect our budget , um that we might 	
A	100.7	100.94	Sorry . 	
B	131.42	144.13	have a bit of oh oh you can see it , okay . Um dissonance between what our budget was and what we want it to look like . Um 	
C	134.224	135.955		
B	144.85	159.36	want it to look uncluttered , undaunting to the customer . We discussed a flip-open design , um reducing the size of the control and an electronic panel um for further features like programming , things like that . 	
B	161.19	166.8	Okay . Um , three presentations , I've got written here so 	
B	168.66	170.62	shall we hear from Marketing first ? 	
D	171.01	175.84	Um is it okay if I postpone that til later , I just want to get access to a little bit more information , is that okay ? 	
B	175.03	177.407	No that's fine , that's fine . 	
C	176.5	179.312	Okay , yeah I'll go first . Can I grab the 	
B	179.07	179.82	Unplug me . 	
C	182.12	183.41	Thanks . 	
C	191.55	193.32	What do I have to press ? Oh , F_ eight ? 	
B	194.0	195.12	Um , F_N_ 	
B	195.96	197.26	function F_ eight . 	
C	196.84	197.89	Oh right , yeah . 	
C	200.97	201.45	Okay . 	
C	203.67	204.619	Maybe 	
A	209.34	209.78	Yep . 	
C	209.98	210.62	Yep there we go . 	
C	212.5	218.49	Okay this is uh the working design , presented by me , the uh Industrial Designer extraordinaire . 	
B	218.686	219.662		
C	219.96	246.92	'Kay , this is where I went a bit mad with PowerPoint so . What the first thing question I asked was what are we trying to design ? Well , a device which basically just sends the signal to the T_V_ to change its state , whether that be the power , or the channel um or the volume , everything is just um some sort of signal to change the state of the T_V_ or other appliance that it's sending the signal to . 	
C	249.03	260.06	Um , so I decided I'd have a look at what th other people have designed and try and take some inspiration from that . But uh although we will want to be taking 	
C	261.48	272.08	ideas from other people , we wanna make sure that our design stands out and I thought that was something that well it wasn't really my area because 	
C	272.66	322.22	I'm dealing with the inside really . So um , yeah I ran out of time so I couldn't do this one as fun as the last one . Um and uh I found out that most uh controls use some form of infrared to send signals to the T_V_ presumably because of the cost issue of uh something like uh the same thing that computers use , wireless and , you don't need to send very much information . Um , most of them are powered by some form of battery . Now our one , I'm I'm not sure whether we want to look at the size issue because most of them are powered by triple A_ batteries but those can be quite bulky so I d I didn't know if you wanted to look at something else um so we could shrink down the size of the control . Yeah sure . 	
B	279.56	281.058		
D	319.15	326.75	Mm-hmm . Could I can I interject to ask a question there , is that appropriate ? You're saying the triple A_ batteries are small or the surrounding it ? 	
B	321.51	321.97	Mm-hmm . 	
C	325.58	360.32	Um no no , if you if you look at if you look at most remote controls they're quite they're quite chunky and that's because of the size of the batteries , they have to be obviously this certain size to fit those batteries in . Yeah the the well you can you can get the sort of circular round ones but I'm just wondering about power consumption and how much you need to send the data across . Um , and d which leads sort of onto the next point about 'em being small and easy to carry round . Um , now the ones at the moment are small but I was just wondering if we could look at something a bit smaller . 	
D	330.58	330.96	Mm-hmm . 	
D	335.95	338.76	Right , the triple A_s are the smallest you can get are they not , right ? 	
B	338.28	338.73	They are . 	
A	338.55	338.75	Okay . 	
D	341.57	342.56	Oh I see . 	
D	345.51	345.9	Okay . 	
C	361.198	417.86	Now the main components I came up with um were obviously the power source for the batteries 'cause otherwise it's not gonna work , uh as I said about the w which batteries we were gonna choose , we can uh discuss that later and then you obviously need something to decode the information that you're putting in from from the controller and to turn it into an i uh infrared signal which we're going to use to send the information . Now these have a wireless range of up to about five metres which is sort of suitable for anyone who's watching the T_V_ unless they're in a cinema , which not most people do so as we're applying to the most audience that should be fine . And then I was uh just had a quick look at the external design but I d I left that mostly to the uh interface designer . 	
C	419.18	441.8	And so this is what I had as the basic idea of what we wanna do . It's not a proper circuit , I'm not sure if it'd work or not , I'm not even confident that those are the real um the real way you'd wire it up but anyway , we've just got the the power going to the infrared bulb with the chip and the uh U_I_ interface um 	
A	420.202	420.792		
C	443.35	458.81	which would basically , when you when you pressed anything it would the chip would convert it into some form of I_R_ data which could be decoded by the T_V_ receiver , which obviously means that we're gonna have to conform to whatever 	
C	459.92	519.03	um whatever form of communication that the T_V_s are already using and since that that's another use and reason to use that infrared because that's what all T_V_s use at the moment . And then finally , um we want uh the it to be available to a wide audience at a low cost so all the components that I've put forward are uh low in cost so that that should be good . Um it should should be different enough um from the alternative products to get a good consumer base , we were talking about it before and also just something that I was thinking about , uh because they're small they're also easy to lose so if we could look into some way of d dunno some anti-going down the side of the sofa thing that you could have , I th that was just sort of a general point there . And that's uh yeah . 	
D	500.24	500.96	Mm . 	
D	509.72	510.23	Mm . 	
D	515.94	523.58	Mm . That's a very important part , it came up in our market research findings too so I can refer to that , whenever you like me to present . 	
C	521.71	528.656	Alright okay , and yeah , that's that's what I came up with there , so if you wanna 	
B	527.67	532.35	Okay , thank you very much . Um , would you like to continue on from that ? 	
A	531.35	531.93	Yep . 	
C	534.45	534.6	Ooh . 	
A	535.76	538.99	'Kay . It can be okay , that's okay with me . 	
B	535.92	538.55	Or , maybe move the laptop over . 	
A	544.498	545.49	further . 	
A	547.586	549.118		
B	549.113	550.3		
A	572.8	572.98	Oops . 	
A	591.04	593.79	Why's it not working ? F_ eight , right ? 	
B	594.77	596.31	F_ function . 	
C	595.48	596.8	Function F_ eight yeah . 	
A	596.59	597.13	Okay . 	
A	602.56	604.17	Mm why's it in the right ? 	
D	602.63	602.91	No . 	
D	604.86	607.59	The plug hasn't come out at the bottom , has it ? No . 	
A	606.73	608.14	Yeah , it's connecting . 	
C	607.45	610.98	No , no yeah it's just . 	
D	609.04	610.0	Meter adjusting . 	
A	611.808	613.68	okay . 	
B	612.74	613.56	Oh , there . 	
A	614.77	635.47	Yeah . Actually mm some of my points might overlap with what William's just mention , but basically my method was like uh whatever brainstorming we did in the last meeting , just a couple of valuable points and started developing on that and there might be some missing loops in this thing which I think we'll uh take a feedback from the marketing because 	
C	618.68	619.07	Yeah . 	
A	636.91	652.98	um , I haven't had some marketing data and basically every product is marketable . So purpose , as William already said , I would put it to simplify the interaction with T_V_ to make make it as simple as possible . And to summarise I I would say it's it should be user-friendly by being easy to use , 	
A	654.05	661.92	rather than having a lot of complex button because you can have an engineering maybe having hundred buttons and maybe having uh a remote control which has the main features 	
A	663.15	666.22	like volume control or channel ch changing the channel or whatever . 	
A	667.41	706.54	But we are to to make it unique so that people want to buy it , will this two features together . So what the concept is to have a flip-top model . The main functions such as which are like often used will be on the top and the complex functions which say you you can say like the y young generation or trendy generation want to pr say programme their favourite channels or whatever , can be put in the middle part of the f flip-top . So it's like it could be accessed by a wide ra range of uh audience and we can punch in new f features such as uh added features such as shock proof body and maybe a design to appeal to a lot of people . 	
A	708.26	743.78	Findings most people prefer us user-friendly rather than complex remote controls because there are times like uh people have used a remote control for say a year or something and they they are not used maybe thirty to forty percent of the buttons so it's not of no use of punching in the uh trying to put in those things in on the top of the remote control and try to confuse the user . As we saw we we have to make a profit also so we we can maybe go for an economies of a higher production mm by fifty million we said ? Yeah , with that I think we'll be able to achieve economies of scale also , so we can give in add in more features and make it less costly . 	
C	736.03	736.36	Yeah . 	
A	745.44	746.11	Um , 	
A	747.62	752.12	that's so this is if you ask me personally , I would make uh 	
A	754.47	769.03	flip-top with a trendy uh uh design and s maybe we we should look at also like the buttons whe whether they are like soft or little hard because they are times when the buttons tend to be a bit hard after uh continuous use usage and all that . So in overall a simple and uh 	
C	762.29	762.86	Yeah . 	
A	770.84	771.76	user-friendly design . 	
D	772.45	773.0	Mm . 	
A	773.02	774.69	Uh any comments like , if you want ? 	
B	773.23	773.66	'Kay . 	
B	775.51	784.352	Um , I think we'll chat about it at the end , okay so if anyone wants to write something down that they want to bring up at the end , um 	
A	778.4	779.37	Okay . 	
